Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
17,ORD-44187,2020-07-24,2020-07-28,Second Class,CU-1407,Jessica Garcia,Consumer,United States,Pennsylvania City,Pennsylvania,16630,East,PROD-8813,Technology,Copiers,Copiers Model 362,6998.4,4,0.0,616.1
18,ORD-95459,2020-03-13,2020-03-20,Same Day,CU-6764,Sarah Harris,Corporate,United States,California City,California,44760,West,PROD-6451,Technology,Machines,Machines Model 29,12637.61,7,0.0,585.53
19,ORD-45783,2020-03-21,2020-03-22,Second Class,CU-1826,Michael Martinez,Consumer,United States,North Carolina City,North Carolina,16572,South,PROD-1366,Furniture,Furnishings,Furnishings Model 343,14727.96,10,0.0,4214.91
20,ORD-17823,2020-01-16,2020-01-17,Standard Class,CU-1596,Thomas Williams,Consumer,United States,Alabama City,Alabama,85880,South,PROD-8442,Office Supplies,Art,Art Model 436,1265.24,10,0.1,79.02
21,ORD-73458,2021-12-06,2021-12-09,Same Day,CU-3369,Charles Young,Home Office,United States,Arizona City,Arizona,27154,West,PROD-5737,Technology,Copiers,Copiers Model 362,1443.74,5,0.3,-64.76
22,ORD-44667,2022-02-27,2022-02-28,First Class,CU-7083,Joseph King,Consumer,United States,Wisconsin City,Wisconsin,19016,Central,PROD-7885,Furniture,Chairs,Chairs Model 341,1724.13,2,0.2,-196.38
23,ORD-67831,2022-06-06,2022-06-13,Second Class,CU-8066,Karen Martinez,Corporate,United States,Florida City,Florida,27601,East,PROD-8397,Furniture,Tables,Tables Model 393,9330.08,11,0.2,3784.67
24,ORD-13992,2020-03-07,2020-03-13,First Class,CU-8928,Barbara King,Corporate,United States,Texas City,Texas,16658,Central,PROD-5414,Technology,Machines,Machines Model 29,1973.65,6,0.2,253.65
25,ORD-97293,2022-07-28,2022-07-31,Second Class,CU-2010,David Jones,Consumer,United States,Nevada City,Nevada,19862,West,PROD-0154,Furniture,Chairs,Chairs Model 341,2670.76,3,0.4,439.58
26,ORD-73866,2021-05-30,2021-06-01,Standard Class,CU-5939,Karen Jones,Home Office,United States,Ohio City,Ohio,99399,East,PROD-0891,Technology,Accessories,Accessories Model 342,619.98,1,0.0,238.26
27,ORD-63857,2019-11-29,2019-12-06,First Class,CU-2030,Robert Davis,Home Office,United States,New York City,New York,63964,East,PROD-6842,Furniture,Furnishings,Furnishings Model 343,2794.11,13,0.4,-513.81
28,ORD-72959,2020-03-31,2020-04-02,Standard Class,CU-5785,Mary Harris,Corporate,United States,Florida City,Florida,39219,East,PROD-1691,Technology,Phones,Phones Model 409,18005.65,14,0.3,-29.28
29,ORD-82812,2020-12-20,2020-12-26,Second Class,CU-5448,John Wilson,Corporate,United States,Washington City,Washington,44237,West,PROD-8888,Furniture,Bookcases,Bookcases Model 429,5054.86,9,0.3,2075.04
30,ORD-79224,2020-12-08,2020-12-14,Standard Class,CU-9996,Lisa Jackson,Consumer,United States,Ohio City,Ohio,43386,East,PROD-4707,Furniture,Chairs,Chairs Model 341,8200.22,13,0.0,413.1
31,ORD-01732,2022-09-22,2022-09-25,First Class,CU-6958,Jessica Williams,Corporate,United States,Nevada City,Nevada,76469,West,PROD-8719,Technology,Machines,Machines Model 29,6312.62,10,0.0,1690.77
32,ORD-51111,2019-09-18,2019-09-20,Standard Class,CU-0632,Barbara Thompson,Home Office,United States,Wisconsin City,Wisconsin,90676,Central,PROD-8630,Furniture,Furnishings,Furnishings Model 343,5592.44,7,0.4,1343.62
33,ORD-91902,2021-05-30,2021-06-06,Same Day,CU-1849,Barbara Miller,Corporate,United States,Wisconsin City,Wisconsin,98555,Central,PROD-6639,Office Supplies,Paper,Paper Model 193,8507.03,10,0.3,869.78
34,ORD-34380,2021-11-21,2021-11-27,Standard Class,CU-7306,John Martinez,Home Office,United States,Ohio City,Ohio,98184,East,PROD-6449,Furniture,Tables,Tables Model 393,13644.68,11,0.0,4529.7
35,ORD-38673,2021-08-31,2021-09-05,Standard Class,CU-9278,Mary Davis,Consumer,United States,Illinois City,Illinois,60328,Central,PROD-8135,Technology,Machines,Machines Model 29,10766.95,14,0.5,747.08
36,ORD-29429,2021-05-20,2021-05-22,Standard Class,CU-2715,James Brown,Home Office,United States,Tennessee City,Tennessee,25906,South,PROD-2931,Technology,Machines,Machines Model 29,2413.8,3,0.5,-403.97
37,ORD-82658,2021-05-23,2021-05-30,Same Day,CU-3058,Lisa Martin,Corporate,United States,Georgia City,Georgia,68991,South,PROD-6303,Furniture,Bookcases,Bookcases Model 429,8051.38,9,0.0,2281.57
38,ORD-13413,2020-07-16,2020-07-20,First Class,CU-5989,Sarah Davis,Home Office,United States,Illinois City,Illinois,80798,Central,PROD-2626,Office Supplies,Fasteners,Fasteners Model 432,2571.34,2,0.1,-60.13
39,ORD-82556,2019-05-12,2019-05-16,Standard Class,CU-1264,Robert Miller,Corporate,United States,Washington City,Washington,65069,West,PROD-9937,Technology,Machines,Machines Model 29,2327.88,7,0.5,163.54
40,ORD-92742,2019-01-13,2019-01-16,Standard Class,CU-9155,Richard Harris,Home Office,United States,Alabama City,Alabama,73993,South,PROD-1822,Office Supplies,Paper,Paper Model 193,4524.55,5,0.4,677.97
41,ORD-00805,2022-10-01,2022-10-07,Standard Class,CU-1917,Richard Anderson,Consumer,United States,Florida City,Florida,91560,East,PROD-5476,Furniture,Furnishings,Furnishings Model 343,10550.95,13,0.0,3654.1
42,ORD-15481,2021-08-03,2021-08-05,First Class,CU-1142,Jessica Jones,Consumer,United States,Nevada City,Nevada,54236,West,PROD-7290,Office Supplies,Paper,Paper Model 193,366.81,1,0.3,-22.9
43,ORD-65841,2022-01-09,2022-01-10,Second Class,CU-6810,Sarah Smith,Consumer,United States,North Carolina City,North Carolina,14067,South,PROD-2454,Furniture,Bookcases,Bookcases Model 429,2713.94,6,0.0,835.35
44,ORD-29158,2022-10-03,2022-10-04,First Class,CU-1399,Robert Harris,Consumer,United States,Pennsylvania City,Pennsylvania,31992,East,PROD-2138,Technology,Machines,Machines Model 29,9478.88,10,0.5,2413.82
45,ORD-44015,2022-03-25,2022-03-31,Standard Class,CU-5637,James Martinez,Home Office,United States,Washington City,Washington,23356,West,PROD-1622,Furniture,Chairs,Chairs Model 341,5016.85,7,0.1,-755.55
46,ORD-89694,2022-09-16,2022-09-19,Same Day,CU-1188,Karen Jackson,Corporate,United States,Missouri City,Missouri,74251,Central,PROD-1514,Technology,Phones,Phones Model 409,1420.15,2,0.3,-272.35
47,ORD-43135,2019-12-27,2020-01-02,Same Day,CU-4733,Robert Jackson,Home Office,United States,Nevada City,Nevada,70931,West,PROD-2623,Furniture,Furnishings,Furnishings Model 343,13904.06,9,0.2,2785.58
48,ORD-00075,2021-07-12,2021-07-14,Same Day,CU-5448,John Wilson,Consumer,United States,Alabama City,Alabama,52600,South,PROD-4621,Furniture,Bookcases,Bookcases Model 429,7270.33,13,0.4,135.65
49,ORD-35508,2022-05-05,2022-05-11,Same Day,CU-3512,David Wilson,Corporate,United States,New Jersey City,New Jersey,74038,East,PROD-3973,Technology,Accessories,Accessories Model 342,5012.11,5,0.1,-723.51
50,ORD-23406,2020-08-25,2020-08-27,First Class,CU-7207,James Williams,Corporate,United States,New Jersey City,New Jersey,72031,East,PROD-1114,Office Supplies,Supplies,Supplies Model 465,7756.65,7,0.2,1796.24
51,ORD-05416,2020-09-19,2020-09-22,Standard Class,CU-0427,Joseph Wilson,Corporate,United States,Wisconsin City,Wisconsin,35105,Central,PROD-8092,Office Supplies,Labels,Labels Model 193,884.55,4,0.1,4.52
52,ORD-59889,2020-04-10,2020-04-13,Second Class,CU-1826,Michael Martinez,Consumer,United States,New Jersey City,New Jersey,82529,East,PROD-6105,Furniture,Bookcases,Bookcases Model 429,1824.07,3,0.0,-39.58
53,ORD-48267,2020-08-05,2020-08-09,First Class,CU-1568,James Young,Consumer,United States,Illinois City,Illinois,72616,Central,PROD-4758,Office Supplies,Supplies,Supplies Model 465,7069.88,8,0.0,3022.89
54,ORD-20186,2019-11-07,2019-11-09,Standard Class,CU-5478,Charles Johnson,Consumer,United States,California City,California,25525,West,PROD-2392,Furniture,Furnishings,Furnishings Model 343,11729.8,13,0.2,-1696.51
55,ORD-62736,2021-06-25,2021-06-28,Second Class,CU-3164,Richard White,Home Office,United States,Alabama City,Alabama,89905,South,PROD-2504,Office Supplies,Envelopes,Envelopes Model 119,9904.5,14,0.4,-14.88
56,ORD-49404,2020-05-06,2020-05-08,Same Day,CU-5669,John Garcia,Corporate,United States,Washington City,Washington,48175,West,PROD-7206,Office Supplies,Envelopes,Envelopes Model 119,1392.79,9,0.0,91.28
57,ORD-19478,2022-11-08,2022-11-10,Standard Class,CU-2910,Joseph Williams,Home Office,United States,Washington City,Washington,94886,West,PROD-4792,Furniture,Bookcases,Bookcases Model 429,7095.23,5,0.1,541.65
58,ORD-29931,2022-05-03,2022-05-09,Same Day,CU-8852,Jennifer Martinez,Consumer,United States,Florida City,Florida,49857,East,PROD-3961,Technology,Phones,Phones Model 409,12774.36,14,0.2,1091.57
59,ORD-96490,2019-03-23,2019-03-27,Standard Class,CU-8642,John King,Corporate,United States,North Carolina City,North Carolina,98381,South,PROD-2500,Office Supplies,Supplies,Supplies Model 465,6221.1,12,0.2,-1139.63
60,ORD-41787,2022-08-27,2022-08-31,Same Day,CU-9540,Sarah Martin,Consumer,United States,Oregon City,Oregon,21959,West,PROD-5075,Office Supplies,Paper,Paper Model 193,1101.21,5,0.4,234.13
61,ORD-66196,2020-11-06,2020-11-10,Second Class,CU-3361,Patricia Garcia,Corporate,United States,North Carolina City,North Carolina,69614,South,PROD-7890,Furniture,Bookcases,Bookcases Model 429,7152.92,12,0.4,2352.01
62,ORD-09040,2019-01-03,2019-01-09,First Class,CU-0365,Richard Martin,Consumer,United States,Oregon City,Oregon,91609,West,PROD-9315,Furniture,Bookcases,Bookcases Model 429,9134.78,14,0.4,-1505.11
63,ORD-74252,2020-08-12,2020-08-16,Standard Class,CU-5939,Karen Jones,Corporate,United States,Tennessee City,Tennessee,30758,South,PROD-3723,Technology,Machines,Machines Model 29,11664.0,12,0.0,5045.21
64,ORD-77818,2021-08-03,2021-08-04,First Class,CU-0323,Linda Brown,Consumer,United States,Missouri City,Missouri,76698,Central,PROD-8285,Technology,Copiers,Copiers Model 362,9158.19,11,0.5,3720.28
65,ORD-99911,2019-10-24,2019-10-28,First Class,CU-8870,Joseph Thompson,Consumer,United States,Wisconsin City,Wisconsin,64387,Central,PROD-8193,Furniture,Furnishings,Furnishings Model 343,7376.51,4,0.0,2667.48
66,ORD-75741,2022-04-02,2022-04-08,First Class,CU-6778,Barbara Young,Corporate,United States,Missouri City,Missouri,53573,Central,PROD-5351,Furniture,Chairs,Chairs Model 341,6924.78,8,0.5,1039.25
67,ORD-78969,2021-02-23,2021-02-25,Same Day,CU-8999,Linda Young,Home Office,United States,Tennessee City,Tennessee,59968,South,PROD-9726,Furniture,Tables,Tables Model 393,21730.96,14,0.0,148.09
68,ORD-91962,2020-11-10,2020-11-17,Same Day,CU-5325,Thomas Young,Consumer,United States,Georgia City,Georgia,12011,South,PROD-5164,Furniture,Chairs,Chairs Model 341,1749.01,2,0.5,-236.44
69,ORD-30842,2020-11-24,2020-11-29,Same Day,CU-8118,Sarah Wilson,Consumer,United States,New Jersey City,New Jersey,51505,East,PROD-4660,Office Supplies,Art,Art Model 436,9575.75,12,0.0,3386.44
70,ORD-42967,2019-07-05,2019-07-09,First Class,CU-0559,Barbara Davis,Consumer,United States,Alabama City,Alabama,13794,South,PROD-2848,Technology,Phones,Phones Model 409,3043.88,2,0.0,269.05
71,ORD-56120,2019-10-26,2019-10-28,Second Class,CU-8596,Susan Jackson,Corporate,United States,Oregon City,Oregon,89887,West,PROD-4165,Technology,Accessories,Accessories Model 342,7443.39,9,0.0,-666.26
72,ORD-80975,2020-04-20,2020-04-24,Same Day,CU-2399,Charles Jones,Corporate,United States,Alabama City,Alabama,47700,South,PROD-0522,Office Supplies,Envelopes,Envelopes Model 119,4502.83,11,0.2,1051.17
73,ORD-41986,2022-11-14,2022-11-17,Same Day,CU-5740,Barbara Jackson,Home Office,United States,New York City,New York,23979,East,PROD-3417,Furniture,Bookcases,Bookcases Model 429,12177.95,8,0.1,5475.12
74,ORD-65186,2019-02-14,2019-02-21,Second Class,CU-8023,Barbara Martinez,Home Office,United States,New Jersey City,New Jersey,89482,East,PROD-8946,Office Supplies,Labels,Labels Model 193,8740.96,11,0.0,1467.2
75,ORD-41818,2020-05-28,2020-06-03,Second Class,CU-5741,Michael King,Consumer,United States,North Carolina City,North Carolina,50492,South,PROD-9996,Technology,Accessories,Accessories Model 342,18762.28,13,0.0,3909.33
76,ORD-31343,2020-08-27,2020-08-30,First Class,CU-3426,Robert Williams,Home Office,United States,Virginia City,Virginia,79579,South,PROD-4410,Office Supplies,Labels,Labels Model 193,9006.43,12,0.1,-1027.6
77,ORD-69015,2021-08-17,2021-08-18,Same Day,CU-3664,David Brown,Corporate,United States,Illinois City,Illinois,83048,Central,PROD-7008,Furniture,Furnishings,Furnishings Model 343,4075.74,3,0.1,1463.56
78,ORD-49951,2021-07-20,2021-07-23,First Class,CU-6995,Karen Brown,Corporate,United States,Texas City,Texas,24201,Central,PROD-4698,Furniture,Chairs,Chairs Model 341,13193.65,11,0.2,2374.38
79,ORD-91223,2022-07-25,2022-08-01,Second Class,CU-3934,Linda Williams,Home Office,United States,New Jersey City,New Jersey,28320,East,PROD-0062,Technology,Accessories,Accessories Model 342,11643.06,8,0.2,2584.82
80,ORD-37965,2022-01-05,2022-01-07,Standard Class,CU-5274,Patricia Davis,Consumer,United States,California City,California,64379,West,PROD-0306,Furniture,Furnishings,Furnishings Model 343,3822.08,7,0.4,694.74
81,ORD-08548,2020-03-20,2020-03-24,First Class,CU-8869,Mary Taylor,Corporate,United States,Nevada City,Nevada,81364,West,PROD-4808,Office Supplies,Storage,Storage Model 404,10647.6,8,0.3,-1441.89
82,ORD-33126,2019-07-07,2019-07-13,First Class,CU-8290,Patricia White,Consumer,United States,Texas City,Texas,41925,Central,PROD-1381,Furniture,Bookcases,Bookcases Model 429,5140.8,4,0.0,-859.15
83,ORD-71621,2020-03-18,2020-03-25,Second Class,CU-0872,Michael Young,Home Office,United States,Ohio City,Ohio,46342,East,PROD-2820,Technology,Phones,Phones Model 409,6577.65,14,0.0,2056.29
84,ORD-54081,2019-09-27,2019-09-28,Second Class,CU-9920,Patricia Smith,Consumer,United States,Pennsylvania City,Pennsylvania,32838,East,PROD-4369,Office Supplies,Fasteners,Fasteners Model 432,8537.5,6,0.1,1560.27
85,ORD-45799,2021-09-02,2021-09-06,Standard Class,CU-0496,Patricia Williams,Home Office,United States,Texas City,Texas,90623,Central,PROD-9800,Technology,Copiers,Copiers Model 362,9454.48,13,0.0,886.86
86,ORD-24460,2021-09-07,2021-09-14,Same Day,CU-8300,James Johnson,Home Office,United States,Arizona City,Arizona,19632,West,PROD-0019,Furniture,Furnishings,Furnishings Model 343,5987.91,7,0.0,710.61
87,ORD-27806,2022-07-02,2022-07-08,First Class,CU-0400,Robert Wilson,Consumer,United States,Oregon City,Oregon,69469,West,PROD-3287,Office Supplies,Art,Art Model 436,7692.8,10,0.3,366.08
88,ORD-16819,2021-05-30,2021-06-03,Second Class,CU-0845,Karen Miller,Home Office,United States,Virginia City,Virginia,50966,South,PROD-4476,Office Supplies,Binders,Binders Model 60,1661.12,4,0.5,98.3
89,ORD-36991,2019-05-18,2019-05-19,First Class,CU-1399,Robert Harris,Corporate,United States,North Carolina City,North Carolina,27054,South,PROD-0167,Office Supplies,Fasteners,Fasteners Model 432,1472.54,14,0.4,-202.08
90,ORD-96090,2020-12-25,2021-01-01,Second Class,CU-2730,Patricia Jackson,Home Office,United States,Arizona City,Arizona,47700,West,PROD-0543,Office Supplies,Labels,Labels Model 193,12424.86,11,0.4,4525.88
91,ORD-71768,2019-08-10,2019-08-13,Standard Class,CU-5989,Sarah Davis,Consumer,United States,Michigan City,Michigan,66244,Central,PROD-7914,Technology,Machines,Machines Model 29,15606.49,14,0.0,4614.74
92,ORD-24821,2022-12-10,2022-12-17,Standard Class,CU-7053,Jennifer Wilson,Consumer,United States,Arizona City,Arizona,84228,West,PROD-1794,Office Supplies,Fasteners,Fasteners Model 432,6452.14,5,0.3,-1264.82
93,ORD-94624,2021-02-09,2021-02-13,First Class,CU-8277,Thomas Miller,Consumer,United States,Virginia City,Virginia,84395,South,PROD-4462,Technology,Phones,Phones Model 409,3836.49,8,0.3,9.84
94,ORD-80584,2020-07-11,2020-07-15,Standard Class,CU-0173,Mary Williams,Home Office,United States,California City,California,77154,West,PROD-9016,Technology,Machines,Machines Model 29,4680.0,11,0.5,323.95
95,ORD-54671,2021-12-15,2021-12-21,Second Class,CU-8237,Charles Harris,Corporate,United States,Oregon City,Oregon,11007,West,PROD-3976,Furniture,Chairs,Chairs Model 341,286.82,5,0.4,126.17
96,ORD-70644,2019-09-03,2019-09-04,Standard Class,CU-6134,Barbara Anderson,Corporate,United States,Florida City,Florida,75570,East,PROD-0319,Technology,Machines,Machines Model 29,11962.35,8,0.0,-1387.98
97,ORD-15220,2019-06-09,2019-06-16,Same Day,CU-7159,James White,Corporate,United States,Texas City,Texas,47947,Central,PROD-3163,Furniture,Chairs,Chairs Model 341,4153.1,6,0.4,1084.68
98,ORD-00297,2022-11-13,2022-11-16,Same Day,CU-3667,Lisa White,Consumer,United States,Nevada City,Nevada,78676,West,PROD-0806,Technology,Accessories,Accessories Model 342,1752.48,2,0.0,-73.33
99,ORD-59565,2019-06-06,2019-06-11,First Class,CU-6326,David Garcia,Consumer,United States,Nevada City,Nevada,56019,West,PROD-4344,Furniture,Bookcases,Bookcases Model 429,2301.58,11,0.1,894.97
100,ORD-61040,2022-05-18,2022-05-20,Same Day,CU-4584,Michael Garcia,Corporate,United States,Pennsylvania City,Pennsylvania,70811,East,PROD-2136,Technology,Machines,Machines Model 29,19753.62,13,0.0,-1676.19
101,ORD-29657,2021-06-19,2021-06-20,Second Class,CU-2010,David Jones,Home Office,United States,Alabama City,Alabama,56129,South,PROD-3998,Office Supplies,Labels,Labels Model 193,5678.11,8,0.2,1803.45
102,ORD-02550,2020-08-10,2020-08-11,Same Day,CU-8869,Mary Taylor,Consumer,United States,Oregon City,Oregon,70648,West,PROD-4853,Furniture,Furnishings,Furnishings Model 343,19020.97,11,0.0,3799.54
103,ORD-23135,2021-10-23,2021-10-25,Second Class,CU-2178,Lisa Harris,Corporate,United States,Nevada City,Nevada,76132,West,PROD-7477,Office Supplies,Envelopes,Envelopes Model 119,632.66,1,0.3,277.45
104,ORD-35977,2022-06-02,2022-06-04,First Class,CU-9727,Thomas Martin,Corporate,United States,New York City,New York,98984,East,PROD-9834,Technology,Copiers,Copiers Model 362,3594.43,6,0.2,186.27
105,ORD-61680,2020-08-04,2020-08-07,Standard Class,CU-7957,Karen Thomas,Consumer,United States,Oregon City,Oregon,55851,West,PROD-0635,Technology,Accessories,Accessories Model 342,20446.5,12,0.0,341.16
106,ORD-13384,2022-08-10,2022-08-17,Same Day,CU-7957,Karen Thomas,Corporate,United States,Wisconsin City,Wisconsin,76648,Central,PROD-4983,Technology,Phones,Phones Model 409,9763.82,6,0.0,2147.22
107,ORD-64780,2021-09-22,2021-09-24,Second Class,CU-3533,Michael Anderson,Consumer,United States,Texas City,Texas,76543,Central,PROD-9104,Furniture,Bookcases,Bookcases Model 429,7999.81,4,0.0,-1198.71
108,ORD-08780,2019-11-29,2019-12-01,Second Class,CU-8403,Richard Jones,Home Office,United States,Oregon City,Oregon,63852,West,PROD-6529,Office Supplies,Art,Art Model 436,19421.18,14,0.0,5219.81
109,ORD-85399,2021-12-29,2021-12-31,Standard Class,CU-4337,Joseph Davis,Home Office,United States,Illinois City,Illinois,58213,Central,PROD-1475,Furniture,Bookcases,Bookcases Model 429,4828.41,5,0.5,1871.41
110,ORD-20122,2019-11-28,2019-12-05,Second Class,CU-6351,Thomas Jackson,Home Office,United States,Tennessee City,Tennessee,94040,South,PROD-3400,Furniture,Furnishings,Furnishings Model 343,6414.05,4,0.0,2356.85
111,ORD-33173,2020-08-06,2020-08-07,Standard Class,CU-2702,Thomas Brown,Home Office,United States,North Carolina City,North Carolina,67340,South,PROD-8169,Office Supplies,Binders,Binders Model 60,2111.35,13,0.5,820.15
112,ORD-16440,2021-03-22,2021-03-27,Second Class,CU-9352,Jessica Johnson,Consumer,United States,Washington City,Washington,51770,West,PROD-8656,Furniture,Bookcases,Bookcases Model 429,2852.26,6,0.0,124.62
113,ORD-75015,2022-11-26,2022-12-03,Second Class,CU-9418,Barbara Harris,Consumer,United States,Oregon City,Oregon,20384,West,PROD-8587,Technology,Machines,Machines Model 29,2278.33,3,0.5,208.67
114,ORD-11349,2021-05-16,2021-05-17,Standard Class,CU-3058,Lisa Martin,Home Office,United States,Oregon City,Oregon,65027,West,PROD-1261,Technology,Machines,Machines Model 29,6029.53,13,0.2,-728.36
115,ORD-38866,2022-07-18,2022-07-23,Second Class,CU-0580,Karen Smith,Home Office,United States,Virginia City,Virginia,90584,South,PROD-1326,Technology,Copiers,Copiers Model 362,4876.67,10,0.0,-52.05
116,ORD-78934,2021-01-08,2021-01-09,Same Day,CU-5438,John Martin,Consumer,United States,Illinois City,Illinois,15706,Central,PROD-4784,Office Supplies,Storage,Storage Model 404,9813.99,9,0.0,527.94
117,ORD-84080,2020-05-08,2020-05-14,First Class,CU-8354,John Taylor,Corporate,United States,North Carolina City,North Carolina,81567,South,PROD-5731,Furniture,Chairs,Chairs Model 341,9689.47,11,0.3,-1097.66
118,ORD-49931,2019-10-04,2019-10-05,Standard Class,CU-5329,Sarah Garcia,Home Office,United States,Illinois City,Illinois,15741,Central,PROD-4795,Office Supplies,Supplies,Supplies Model 465,9321.0,12,0.5,-1640.13
119,ORD-23138,2021-08-27,2021-08-30,Second Class,CU-9361,Richard Thompson,Home Office,United States,New York City,New York,95948,East,PROD-9096,Furniture,Bookcases,Bookcases Model 429,1357.03,1,0.1,-19.04
120,ORD-36440,2021-03-02,2021-03-05,First Class,CU-3164,Richard White,Corporate,United States,Michigan City,Michigan,20828,Central,PROD-4323,Technology,Accessories,Accessories Model 342,1492.39,3,0.5,57.87
121,ORD-83826,2019-07-30,2019-07-31,Same Day,CU-6134,Barbara Anderson,Home Office,United States,Virginia City,Virginia,31842,South,PROD-8416,Furniture,Tables,Tables Model 393,6352.96,6,0.2,570.78
122,ORD-94281,2021-06-09,2021-06-12,Same Day,CU-7411,Susan King,Home Office,United States,North Carolina City,North Carolina,57619,South,PROD-2678,Furniture,Chairs,Chairs Model 341,21561.7,11,0.0,-3260.63
123,ORD-72295,2020-04-28,2020-05-05,Second Class,CU-3426,Robert Williams,Consumer,United States,New York City,New York,89310,East,PROD-8685,Technology,Copiers,Copiers Model 362,4856.45,11,0.4,2025.89
124,ORD-99699,2019-10-09,2019-10-14,Second Class,CU-8081,John Young,Corporate,United States,New Jersey City,New Jersey,13396,East,PROD-7486,Furniture,Bookcases,Bookcases Model 429,3835.57,6,0.2,-144.8
125,ORD-57925,2020-06-17,2020-06-23,Same Day,CU-9565,Patricia Wilson,Home Office,United States,New Jersey City,New Jersey,36237,East,PROD-6178,Office Supplies,Storage,Storage Model 404,2771.64,8,0.2,695.92
126,ORD-96784,2022-10-28,2022-11-04,First Class,CU-2910,Joseph Williams,Consumer,United States,Washington City,Washington,49315,West,PROD-2761,Technology,Copiers,Copiers Model 362,8024.04,6,0.0,1263.77
127,ORD-34236,2020-04-29,2020-05-06,Standard Class,CU-7506,Michael Jones,Consumer,United States,Pennsylvania City,Pennsylvania,90209,East,PROD-8934,Furniture,Tables,Tables Model 393,321.65,8,0.3,33.39
128,ORD-08061,2021-04-21,2021-04-28,First Class,CU-9540,Sarah Martin,Home Office,United States,California City,California,94192,West,PROD-3622,Furniture,Furnishings,Furnishings Model 343,11532.93,7,0.0,-1367.09
